artist_name,track_name,track_id,popularity
Juice WRLD,All Girls Are The Same,4VXIryQMWpIdGgYR4TrjT1,83
Schoolgirl Byebye,Year 2015,0UsmyJDsst2xhX1ZiFF3JW,25
Juice WRLD,Lucid Dreams,285pBltuF7vW8TeWk8hdRR,84
Fleetwood Mac,Rhiannon (Will You Ever Win) - 2018 Remaster,4fbwTO3DJ2qryMddov9RbB,49
Joji,SLOW DANCING IN THE DARK,0rKtyWc8bvkriBthvHKY8d,83
Revenant,Year 2018,7AFlWfLvu8ESnVrtHxHpEZ,0
Morgan Wallen,Whiskey Glasses,6foY66mWZN0pSRjZ408c00,78
Frank Sinatra,It Was A Very Good Year - 2008 Remastered,1vLPTWPfJSIrqOhNUWNfNY,43
Lil Baby,Drip Too Hard (Lil Baby & Gunna),78QR3Wp35dqAhFEc2qAGjE,80
Fleetwood Mac,Gypsy - 2018 Remaster,5nTnApD6zNvuHJe0fXU5Jg,46
Billie Eilish,lovely (with Khalid),0u2P5u6lvoDfwTYjAADbn4,87
Anthem Lights,K-LOVE Fan Awards: Songs of the Year (2015 Mash-Up),5rJw9VsPNdfnV9Ar97xZG2,31
girl in red,we fell in love in october,1BYZxKSf0aTxp8ZFoeyM3d,83
Fleetwood Mac,Tusk - 2018 Remaster,6U0NPtExZu3tKg8ZDozFxl,48
XXXTENTACION,SAD!,3ee8Jmje8o58CHK66QrVC2,84
Anthem Lights,K-Love Fan Awards: Songs of the Year (2014 Mash-Up),00ohIpPn9LkKpeIqhfIU9V,26
Luke Combs,Beautiful Crazy,2rxQMGVafnNaRaXlRMWPde,78
Fleetwood Mac,Dreams - 2018 Remaster,4pbO4YIjnPtGJce4qlHSL6,48
Lil Baby,Yes Indeed,6vN77lE9LK6HP2DewaN6HZ,78
The Kiboomers,The Months of the Year - 2014 Version,58lQgf1Y5gRJRr6S0Nwp50,28
Playboi Carti,Shoota (feat. Lil Uzi Vert),2BJSMvOGABRxokHKB0OI8i,78
Fleetwood Mac,The Chain - Live 1997; 2018 Remaster,0gvgO9wprV1bxtBh7QOwsE,50
Travis Scott,SICKO MODE,2xLMifQCjDGFmkHkpNLD9h,83
Tori Amos,Pretty Good Year - 2015 Remaster,70euagGKfDWkSQCoZtHFdh,23
Post Malone,Sunflower - Spider-Man: Into the Spider-Verse,3KkXRkHbMCARz0aVfEt68P,82
Fleetwood Mac,Seven Wonders - 2018 Remaster,7KNaPF03g5WMAy8PsaW57k,46
XXXTENTACION,Hope,2ZRo7axmMPeSVUvDbGkJah,84
Riff Raff,Rookie of the Year 2013,4KoDsg2EbYPgqpXSrKqB7F,18
Post Malone,rockstar (feat. 21 Savage),0e7ipj03S05BNilyu5bRzt,83
015B,My Hair Is Green,64agZv9pDgEkQgfvNcBnBP,51
Morgan Wallen,Chasin' You,5MwynWK9s4hlyKHqhkNn4A,76
